,sname,location,url,type,membership,website,nature,feature
174,云南大学, 云南,http://college.gaokao.com/school/99/, 综合, 云南省教育厅, www.ynu.edu.cn/, 本科,211
175,西藏大学, 西藏,http://college.gaokao.com/school/100/, 综合, 西藏自治区教育厅, www.utibet.edu.cn, 本科,211
176,西北大学, 陕西,http://college.gaokao.com/school/101/, 综合, 陕西省教育厅, www.nwu.edu.cn, 本科,211
177,西安电子科技, 陕西,http://college.gaokao.com/school/102/, 工科, 教育部, http://www.xidian.edu.cn, 本科,211
178,陕西师范大学, 陕西,http://college.gaokao.com/school/103/, 师范, 教育部, www.snnu.edu.cn, 本科,211
179,青海大学, 青海,http://college.gaokao.com/school/104/, 综合, 青海省教育厅, www.qhu.edu.cn, 本科,211
180,宁夏大学, 宁夏,http://college.gaokao.com/school/105/, 综合, 宁夏回族自治区教育厅, www.nxu.edu.cn, 本科,211
181,新疆大学, 新疆,http://college.gaokao.com/school/106/, 综合, 新疆维吾尔自治区教育厅, www.xju.edu.cn, 本科,211
182,石河子大学, 新疆,http://college.gaokao.com/school/107/, 综合, 新疆生产建设兵团, www.shzu.edu.cn, 本科,211
183,中国矿业大学, 北京,http://college.gaokao.com/school/108/, 工科, ——, www.cumtb.edu.cn, 本科,211
184,中国地质大学, 北京,http://college.gaokao.com/school/109/, 工科, ——, www.cugb.edu.cn, 本科,211
185,南昌大学, 江西,http://college.gaokao.com/school/110/, 综合, 江西省教育厅, www.ncu.edu.cn, 本科,211
186,上海大学, 上海,http://college.gaokao.com/school/111/, 综合, 上海市教育委员会, http://www.shu.edu.cn, 本科,211
187,天津医科大学, 天津,http://college.gaokao.com/school/112/, 医药, 天津市教育委员会, www.tijmu.edu.cn, 本科,211
188,长安大学, 陕西,http://college.gaokao.com/school/113/, 工科, 教育部, www.chd.edu.cn, 本科,211
189,中南财经政法, 湖北,http://college.gaokao.com/school/114/, 财经, 教育部, www.znufe.edu.cn, 本科,211
190,武汉理工大学, 湖北,http://college.gaokao.com/school/115/, 工科, 教育部, www.whut.edu.cn, 本科,211
191,东北农业大学, 黑龙江,http://college.gaokao.com/school/116/, 农业, 黑龙江省教育厅, http://www.neau.edu.cn, 本科,211
192,中国人民解放, 湖南,http://college.gaokao.com/school/117/, 军事, 中国人民解放军总政治部, http://www.nudt.edu.cn, 本科,211-985
193,中国人民解放, 上海,http://college.gaokao.com/school/118/, 军事, 中国人民解放军总政治部, http://www.smmu.edu.cn, 本科,211
194,上海交通大学, 上海,http://college.gaokao.com/school/120/, 医药, 教育部, http://www.bjtu.edu.cn, 本科,985
195,中国传媒大学, 北京,http://college.gaokao.com/school/121/, 语言, 教育部, www.cuc.edu.cn, 本科,211
196,中国地质大学, 湖北,http://college.gaokao.com/school/122/, 工科, ——, www.cug.edu.cn, 本科,211-985
197,中国石油大学, 北京,http://college.gaokao.com/school/123/, 工科, ——, www.cup.edu.cn, 本科,211
198,中国石油大学, 山东,http://college.gaokao.com/school/124/, 工科, ——, www.upc.edu.cn, 本科,985
199,北方工业大学, 北京,http://college.gaokao.com/school/125/, 工科, 北京市教育委员会, www.ncut.edu.cn, 本科,211
200,北京服装学院, 北京,http://college.gaokao.com/school/126/, 工科, 北京市教育委员会, http://www.bift.edu.cn/, 本科,211
201,北京印刷学院, 北京,http://college.gaokao.com/school/127/, 工科, 北京市教育委员会, www.bigc.edu.cn, 本科,211
202,北京建筑大学, 北京,http://college.gaokao.com/school/128/, 工科, 北京市教育委员会, http://www.bucea.edu.cn, 本科,211
203,北京石油化工, 北京,http://college.gaokao.com/school/129/, 工科, 北京市教育委员会, http://www.bipt.edu.cn, 本科,——
204,北京电子科技, 北京,http://college.gaokao.com/school/130/, 工科, 中央办公厅, www.besti.edu.cn, 本科,——
205,北京农学院, 北京,http://college.gaokao.com/school/131/, 农业, 北京市教育委员会, http://www.bua.edu.cn, 本科,——
206,首都医科大学, 北京,http://college.gaokao.com/school/132/, 医药, 北京市教育委员会, http://www.ccmu.edu.cn, 本科,——
207,首都师范大学, 北京,http://college.gaokao.com/school/133/, 师范, 北京市教育委员会, www.cnu.edu.cn, 本科,——
208,首都体育学院, 北京,http://college.gaokao.com/school/134/, 体育, 北京市教育委员会, www.cipe.edu.cn, 本科,——
209,北京第二外国, 北京,http://college.gaokao.com/school/135/, 语言, 北京市教育委员会, www.bisu.edu.cn, 本科,——
210,北京语言大学, 北京,http://college.gaokao.com/school/136/, 语言, 教育部, www.blcu.edu.cn, 本科,——
211,北京物资学院, 北京,http://college.gaokao.com/school/137/, 财经, 北京市教育委员会, http://www.bwu.edu.cn, 本科,211
212,外交学院, 北京,http://college.gaokao.com/school/138/, 语言, 外交部, www.cfau.edu.cn, 本科,——
213,中国人民公安, 北京,http://college.gaokao.com/school/139/, 政法, 公安部, www.ppsuc.edu.cn, 本科,——
214,国际关系学院, 北京,http://college.gaokao.com/school/140/, 政法, 教育部, http://www.uir.cn, 本科,——
215,中国音乐学院, 北京,http://college.gaokao.com/school/141/, 艺术, 北京市教育委员会, www.ccmusic.edu.cn, 本科,——
216,中央美术学院, 北京,http://college.gaokao.com/school/142/, 艺术, 教育部, www.cafa.edu.cn, 本科,——
217,中央戏剧学院, 北京,http://college.gaokao.com/school/143/, 艺术, 教育部, www.zhongxi.cn, 本科,——
218,中国戏曲学院, 北京,http://college.gaokao.com/school/144/, 艺术, 北京市教育委员会, www.nacta.edu.cn, 本科,——
219,北京电影学院, 北京,http://college.gaokao.com/school/145/, 艺术, 北京市教育委员会, http://www.bfa.edu.cn, 本科,——
220,北京舞蹈学院, 北京,http://college.gaokao.com/school/146/, 艺术, 北京市教育委员会, www.bda.edu.cn, 本科,——
221,天津科技大学, 天津,http://college.gaokao.com/school/147/, 工科, 天津市教育委员会, www.tust.edu.cn, 本科,——
222,天津工业大学, 天津,http://college.gaokao.com/school/148/, 工科, 天津市教育委员会, www.tjpu.edu.cn, 本科,——
223,中国民航大学, 天津,http://college.gaokao.com/school/149/, 工科, 中国民用航空总局, www.cauc.edu.cn, 本科,——
224,天津理工大学, 天津,http://college.gaokao.com/school/150/, 工科, 天津市教育委员会, http://www.tjut.edu.cn/, 本科,——
225,天津农学院, 天津,http://college.gaokao.com/school/151/, 农业, 天津市教育委员会, www.tjau.edu.cn, 本科,——
226,天津中医药大, 天津,http://college.gaokao.com/school/152/, 医药, 天津市教育委员会, www.tjutcm.edu.cn, 本科,——
227,天津师范大学, 天津,http://college.gaokao.com/school/153/, 师范, 天津市教育委员会, www.tjnu.edu.cn, 本科,——
228,天津外国语学, 天津,http://college.gaokao.com/school/154/, 语言, ——, http://zsb.tjfsu.edu.cn, 本科,——
229,天津商业大学, 天津,http://college.gaokao.com/school/155/, 财经, 天津市教育委员会, http://zs.tjcu.edu.cn, 本科,——
230,天津体育学院, 天津,http://college.gaokao.com/school/156/, 体育, 天津市教育委员会, www.tjipe.edu.cn, 本科,——
231,天津音乐学院, 天津,http://college.gaokao.com/school/157/, 艺术, 天津市教育委员会, www.tjcm.edu.cn, 本科,——
232,天津美术学院, 天津,http://college.gaokao.com/school/158/, 艺术, 天津市教育委员会, www.tjarts.edu.cn, 本科,——
233,河北大学, 河北,http://college.gaokao.com/school/159/, 综合, 河北省教育厅, www.hbu.edu.cn, 本科,——
