,sname,location,url,type,membership,website,nature
1586,青海建筑职业, 青海,http://college.gaokao.com/school/1465/, 工科, 青海省教育厅, http://www.qhavtc.com/, 高职专科
1587,宁夏工业职业, 宁夏,http://college.gaokao.com/school/1467/, 工科, 宁夏回族自治区教育厅, http://www.ngzy.nx.edu.cn, 高职专科
1588,宁夏职业技术, 宁夏,http://college.gaokao.com/school/1468/, 综合, 宁夏回族自治区教育厅, www.nxtc.edu.cnwww.nxtvu.edu.cn, 高职专科
1589,宁夏财经职业, 宁夏,http://college.gaokao.com/school/1469/, 财经, 宁夏回族自治区教育厅, http://www.nxcy.edu.cn/, 高职专科
1590,宁夏司法警官, 宁夏,http://college.gaokao.com/school/1470/, 政法, 宁夏回族自治区教育厅, http://www.nsjy.com.cn/, 高职专科
1591,宁夏建设职业, 宁夏,http://college.gaokao.com/school/1471/, 工科, 宁夏回族自治区教育厅, http://www.nxjy.edu.cn/, 高职专科
1592,新疆农业职业, 新疆,http://college.gaokao.com/school/1472/, 农业, 新疆维吾尔自治区教育厅, http://www.xjnzy.edu.cn/, 高职专科
1593,新疆机电职业, 新疆,http://college.gaokao.com/school/1473/, 工科, 新疆维吾尔自治区教育厅, ——, 高职专科
1594,新疆轻工职业, 新疆,http://college.gaokao.com/school/1474/, 工科, 新疆维吾尔自治区教育厅, www.xjqg.edu.cn, 高职专科
1595,克拉玛依职业, 新疆,http://college.gaokao.com/school/1475/, 工科, 新疆维吾尔自治区教育厅, http://www.kzjsxy.net/, 高职专科
1596,昌吉职业技术, 新疆,http://college.gaokao.com/school/1476/, 工科, 新疆维吾尔自治区教育厅, http://www.cjpt.cn/, 高职专科
1597,伊犁职业技术, 新疆,http://college.gaokao.com/school/1477/, 农业, 新疆维吾尔自治区教育厅, www.ylzyjs.cn, 高职专科
1598,巴音郭楞职业, 新疆,http://college.gaokao.com/school/1478/, 综合, 新疆维吾尔自治区教育厅, http://www.xjbyxyzs.cn/, 高职专科
1599,阿克苏职业技, 新疆,http://college.gaokao.com/school/1479/, 综合, 新疆维吾尔自治区教育厅, www.akszy.com, 高职专科
